ctyID,ctyName,townName,n
19,Orleans,Holland,2
19,Orleans,Irasburg,181
19,Orleans,Jay,46
19,Orleans,Lowell,72
19,Orleans,Morgan,11
19,Orleans,Newport,448
19,Orleans,Troy,66
19,Orleans,Westfield,41
19,Orleans,Westmore,145
21,Rutland,Benson,13
21,Rutland,Brandon,315
21,Rutland,Castleton,513
21,Rutland,Chittenden,33
21,Rutland,Clarendon,244
21,Rutland,Danby,120
21,Rutland,Fair Haven,585
21,Rutland,Hubbardton,59
21,Rutland,Ira,10
21,Rutland,Killington,412
21,Rutland,Mendon,66
21,Rutland,Middletown Springs,24
21,Rutland,Mount Holly,67
21,Rutland,Mount Tabor,18
21,Rutland,Pawlet,58
21,Rutland,Pittsfield,41
21,Rutland,Pittsford,378
21,Rutland,Poultney,62
21,Rutland,Proctor,599
21,Rutland,Rutland,926
21,Rutland,Shrewsbury,72
21,Rutland,Sudbury,48
21,Rutland,Tinmouth,10
21,Rutland,Wallingford,351
21,Rutland,Wells,21
21,Rutland,West Haven,31
21,Rutland,West Rutland,318
23,Washington,Barre,834
23,Washington,Berlin,1734
23,Washington,Cabot,60
23,Washington,Calais,82
23,Washington,Duxbury,157
23,Washington,East Montpelier,153
23,Washington,Fayston,100
23,Washington,Marshfield,145
23,Washington,Middlesex,552
23,Washington,Montpelier,3001
23,Washington,Moretown,203
23,Washington,Northfield,620
23,Washington,Plainfield,110
23,Washington,Roxbury,89
23,Washington,Waitsfield,120
23,Washington,Warren,178
23,Washington,Waterbury,803
23,Washington,Woodbury,25
23,Washington,Worcester,126
25,Windham,Athens,5
25,Windham,Brattleboro,1043
25,Windham,Brookline,3
25,Windham,Dover,43
25,Windham,Dummerston,192
25,Windham,Grafton,44
25,Windham,Guilford,199
25,Windham,Halifax,10
25,Windham,Jamaica,70
25,Windham,Londonderry,101
25,Windham,Marlboro,196
25,Windham,Newfane,54
25,Windham,Putney,210
25,Windham,Rockingham,568
25,Windham,Somerset,3
25,Windham,Stratton,18
25,Windham,Townshend,36
25,Windham,Vernon,37
25,Windham,Wardsboro,33
25,Windham,Westminster,250
25,Windham,Whitingham,57
25,Windham,Wilmington,100
25,Windham,Windham,27
27,Windsor,Andover,34
27,Windsor,Baltimore,3
27,Windsor,Barnard,28
27,Windsor,Bethel,285
27,Windsor,Bridgewater,264
27,Windsor,Cavendish,173
27,Windsor,Chester,262
27,Windsor,Hartford,2746
27,Windsor,Hartland,293
27,Windsor,Ludlow,288
27,Windsor,Norwich,465
27,Windsor,Plymouth,220
27,Windsor,Pomfret,41
27,Windsor,Reading,21
27,Windsor,Rochester,79
27,Windsor,Royalton,668
27,Windsor,Sharon,421
27,Windsor,Springfield,632
27,Windsor,Stockbridge,246
27,Windsor,Weathersfield,383
27,Windsor,West Windsor,31
27,Windsor,Weston,118
27,Windsor,Windsor,360
27,Windsor,Woodstock,408
